Stationsindex;Datum;VGSL;VPGB;VPGH;TS05;TS10;TS20;TS50;TS100;ZFUMI;BF10;BF20;BF30;BF40;BF50;BF60;BFGSL;BFGLS;TSLS05;TSSL05;ZTKMI;ZTUMI;VPGPM;VPMB;VPWB;VPZB;VGLS;VWLS;VWSL;BFWLS;BFWSL;eor
         2932;20220101;    0.6;    0.7;    0.6;    9.1;    8.8;    8.0;    5.9;    5.8;    0;   98;  101;  103;  103;  101;   96;  100;  103;    8.9;    9.1;    0;    0;    0.9;    0.7;    0.7;    0.7;    0.6;    0.6;    0.7;  103;  102;eor                                                            
         2932;20220102;    0.5;    0.6;    0.7;    7.2;    7.2;    7.1;    6.4;    6.1;    0;   97;  101;  103;  103;  101;   96;  100;  102;    7.1;    7.2;    0;    0;    1.1;    0.6;    0.7;    0.6;    0.5;    0.5;    0.6;  102;  101;eor                                                            
         2932;20220103;    1.1;    1.1;    0.6;    7.1;    7.1;    7.0;    6.5;    6.3;    0;  100;  100;  102;  102;  100;   95;  100;  102;    6.9;    7.1;    0;    0;    1.0;    0.8;    0.9;    0.8;    1.1;    0.9;    0.9;  102;  102;eor                                                            
         2932;20220104;    0.3;    0.3;    0.2;    6.2;    6.4;    6.6;    6.6;    6.6;    0;  109;  110;  107;  105;  102;   97;  105;  110;    6.1;    6.2;    0;    0;    0.4;    0.2;    0.4;    0.2;    0.3;    0.3;    0.4;  111;  107;eor                                                            
         2932;20220105;    0.9;    0.9;    0.4;    3.3;    4.0;    5.2;    6.5;    6.7;    0;  110;  114;  113;  109;  106;  103;  109;  115;    3.1;    3.3;    0;    0;    0.5;    0.5;    0.6;    0.5;    0.9;    0.6;    0.6;  117;  111;eor                                                            
         2932;20220106;    0.7;    0.7;    0.5;    2.0;    2.7;    3.9;    5.9;    6.8;    0;  106;  109;  111;  110;  108;  105;  108;  113;    1.6;    2.0;    0;    0;    0.3;    0.4;    0.5;    0.4;    0.7;    0.5;    0.5;  116;  110;eor                                                            
         2932;20220107;    0.5;    0.5;    0.2;    0.5;    1.2;    2.7;    5.4;    6.8;    0;  103;  106;  108;  109;  108;  106;  107;  111;    0.2;    0.5;    0;    0;    0.6;    0.3;    0.4;    0.3;    0.5;    0.4;    0.4;  113;  109;eor                                                            
         2932;20220108;    0.4;    0.4;    0.5;    1.1;    1.5;    2.3;    4.8;    6.7;    0;  102;  103;  105;  107;  107;  106;  105;  108;    0.9;    1.1;    0;    0;    0.5;    0.4;    0.5;    0.4;    0.4;    0.5;    0.5;  110;  107;eor                                                            
         2932;20220109;    0.5;    0.5;    0.1;    1.8;    1.9;    2.5;    4.5;    6.6;    0;  104;  103;  103;  105;  106;  106;  104;  106;    1.6;    1.8;    0;    0;    0.6;    0.4;    0.5;    0.4;    0.5;    0.5;    0.5;  108;  106;eor                                                            
         2932;20220110;    0.2;    0.2;    0.2;    2.3;    2.5;    2.9;    4.3;    6.4;    0;  103;  103;  103;  102;  104;  105;  103;  105;    2.2;    2.3;    0;    0;    0.3;    0.2;    0.2;    0.2;    0.2;    0.2;    0.2;  106;  104;eor                                                            
